wavfilename,F72726,F91903,F91907,F91913,F91915,F91916,F91954,F91959,F91969,F91973
cutted_fgx_F91903_0002.wav,,1,,,,,,,,
cutted_fgx_F91903_0003.wav,,1,,,,,,,,
cutted_fgx_F91903_0004.wav,,1,,,,,,,,
cutted_fgx_F91903_0005.wav,,1,,,,,,,,
cutted_fgx_F91903_0006.wav,,1,,,,,,,,
cutted_fgx_F91903_0007.wav,,1,,,,,,,,
cutted_fgx_F91903_0008.wav,,1,,,,,,,,
cutted_fgx_F91903_0009.wav,,1,,,,,,,,
cutted_fgx_F91903_0010.wav,,1,,,,,,,,
cutted_fgx_F91903_0011.wav,,1,,,,,,,,
cutted_fgx_F91903_0012.wav,,1,,,,,,,,
cutted_fgx_F91903_0013.wav,,1,,,,,,,,
cutted_fgx_F91903_0014.wav,,1,,,,,,,,
cutted_fgx_F91903_0015.wav,,1,,,,,,,,
cutted_fgx_F91903_0016.wav,,1,,,,,,,,
cutted_fgx_F91903_0017.wav,,1,,,,,,,,
cutted_fgx_F91903_0018.wav,,1,,,,,,,,
cutted_fgx_F91903_0019.wav,,1,,,,,,,,
cutted_fgx_F91903_0020.wav,,1,,,,,,,,
cutted_fgx_F91903_0021.wav,,1,,,,,,,,
cutted_fgx_F91903_0022.wav,,1,,,,,,,,
cutted_fgx_F91903_0023.wav,,1,,,,,,,,
cutted_fgx_F91903_0024.wav,,1,,,,,,,,
cutted_fgx_F91903_0025.wav,,1,,,,,,,,
cutted_fgx_F91903_0026.wav,,1,,,,,,,,
cutted_fgx_F91903_0027.wav,,1,,,,,,,,
cutted_fgx_F91903_0028.wav,,1,,,,,,,,
cutted_fgx_F91903_0029.wav,,1,,,,,,,,
cutted_fgx_F91903_0030.wav,,1,,,,,,,,
cutted_fgx_F91903_0031.wav,,1,,,,,,,,
cutted_fgx_F91903_0032.wav,,1,,,,,,,,
cutted_fgx_F91903_0033.wav,,1,,,,,,,,
cutted_fgx_F91903_0034.wav,,1,,,,,,,,
cutted_fgx_F91903_0035.wav,,1,,,,,,,,
cutted_fgx_F91903_0036.wav,,1,,,,,,,,
cutted_fgx_F91903_0037.wav,,1,,,,,,,,
cutted_fgx_F91903_0038.wav,,1,,,,,,,,
cutted_fgx_F91903_0039.wav,,1,,,,,,,,
cutted_fgx_F91903_0040.wav,,1,,,,,,,,
cutted_fgx_F91903_0041.wav,,1,,,,,,,,
cutted_fgx_F91907_0000.wav,,,1,,,,,,,
cutted_fgx_F91907_0001.wav,,,1,,,,,,,
cutted_fgx_F91907_0002.wav,,,1,,,,,,,
cutted_fgx_F91907_0003.wav,,,1,,,,,,,
cutted_fgx_F91907_0004.wav,,,1,,,,,,,
cutted_fgx_F91907_0005.wav,,,1,,,,,,,
cutted_fgx_F91907_0006.wav,,,1,,,,,,,
cutted_fgx_F91907_0007.wav,,,1,,,,,,,
cutted_fgx_F91907_0008.wav,,,1,,,,,,,
cutted_fgx_F91907_0009.wav,,,1,,,,,,,
cutted_fgx_F91907_0010.wav,,,1,,,,,,,
cutted_fgx_F91907_0011.wav,,,1,,,,,,,
cutted_fgx_F91907_0012.wav,,,1,,,,,,,
cutted_fgx_F91907_0013.wav,,,1,,,,,,,
cutted_fgx_F91907_0014.wav,,,1,,,,,,,
cutted_fgx_F91907_0015.wav,,,1,,,,,,,
cutted_fgx_F91907_0016.wav,,,1,,,,,,,
cutted_fgx_F91907_0017.wav,,,1,,,,,,,
cutted_fgx_F91907_0018.wav,,,1,,,,,,,
cutted_fgx_F91907_0019.wav,,,1,,,,,,,
cutted_fgx_F91907_0020.wav,,,1,,,,,,,
cutted_fgx_F91907_0021.wav,,,1,,,,,,,
cutted_fgx_F91913_0000.wav,,,,1,,,,,,
cutted_fgx_F91913_0001.wav,,,,1,,,,,,
cutted_fgx_F91913_0002.wav,,,,1,,,,,,
cutted_fgx_F91913_0003.wav,,,,1,,,,,,
cutted_fgx_F91913_0004.wav,,,,1,,,,,,
cutted_fgx_F91913_0005.wav,,,,1,,,,,,
cutted_fgx_F91913_0006.wav,,,,1,,,,,,
cutted_fgx_F91913_0007.wav,,,,1,,,,,,
cutted_fgx_F91913_0008.wav,,,,1,,,,,,
cutted_fgx_F91913_0009.wav,,,,1,,,,,,
cutted_fgx_F91913_0010.wav,,,,1,,,,,,
cutted_fgx_F91913_0011.wav,,,,1,,,,,,
cutted_fgx_F91913_0012.wav,,,,1,,,,,,
cutted_fgx_F91913_0013.wav,,,,1,,,,,,
cutted_fgx_F91913_0014.wav,,,,1,,,,,,
cutted_fgx_F91913_0015.wav,,,,1,,,,,,
cutted_fgx_F91913_0016.wav,,,,1,,,,,,
cutted_fgx_F91913_0017.wav,,,,1,,,,,,
cutted_fgx_F91913_0018.wav,,,,1,,,,,,
cutted_fgx_F91913_0019.wav,,,,1,,,,,,
cutted_fgx_F91913_0020.wav,,,,1,,,,,,
cutted_fgx_F91913_0021.wav,,,,1,,,,,,
cutted_fgx_F91915_0000.wav,,,,,1,,,,,
cutted_fgx_F91915_0001.wav,,,,,1,,,,,
cutted_fgx_F91915_0002.wav,,,,,1,,,,,
cutted_fgx_F91915_0003.wav,,,,,1,,,,,
cutted_fgx_F91915_0004.wav,,,,,1,,,,,
cutted_fgx_F91915_0005.wav,,,,,1,,,,,
cutted_fgx_F91915_0006.wav,,,,,1,,,,,
cutted_fgx_F91915_0007.wav,,,,,1,,,,,
cutted_fgx_F91915_0008.wav,,,,,1,,,,,
cutted_fgx_F91915_0009.wav,,,,,1,,,,,
cutted_fgx_F91915_0010.wav,,,,,1,,,,,
cutted_fgx_F91915_0011.wav,,,,,1,,,,,
cutted_fgx_F91915_0012.wav,,,,,1,,,,,
cutted_fgx_F91915_0013.wav,,,,,1,,,,,
cutted_fgx_F91915_0014.wav,,,,,1,,,,,
cutted_fgx_F91915_0015.wav,,,,,1,,,,,
cutted_fgx_F91915_0016.wav,,,,,1,,,,,
cutted_fgx_F91915_0017.wav,,,,,1,,,,,
cutted_fgx_F91915_0018.wav,,,,,1,,,,,
cutted_fgx_F91915_0019.wav,,,,,1,,,,,
cutted_fgx_F91915_0020.wav,,,,,1,,,,,
cutted_fgx_F91915_0021.wav,,,,,1,,,,,
cutted_fgx_F91915_0022.wav,,,,,1,,,,,
cutted_fgx_F91915_0023.wav,,,,,1,,,,,
cutted_fgx_F91915_0024.wav,,,,,1,,,,,
cutted_fgx_F91915_0025.wav,,,,,1,,,,,
cutted_fgx_F91915_0026.wav,,,,,1,,,,,
cutted_fgx_F91915_0027.wav,,,,,1,,,,,
cutted_fgx_F91915_0028.wav,,,,,1,,,,,
cutted_fgx_F91915_0029.wav,,,,,1,,,,,
cutted_fgx_F91915_0030.wav,,,,,1,,,,,
cutted_fgx_F91915_0031.wav,,,,,1,,,,,
cutted_fgx_F91915_0032.wav,,,,,1,,,,,
cutted_fgx_F91915_0033.wav,,,,,1,,,,,
cutted_fgx_F91915_0034.wav,,,,,1,,,,,
cutted_fgx_F91915_0035.wav,,,,,1,,,,,
cutted_fgx_F91915_0036.wav,,,,,1,,,,,
cutted_fgx_F91915_0037.wav,,,,,1,,,,,
cutted_fgx_F91916_0000.wav,,,,,,1,,,,
cutted_fgx_F91916_0001.wav,,,,,,1,,,,
cutted_fgx_F91916_0002.wav,,,,,,1,,,,
cutted_fgx_F91916_0003.wav,,,,,,1,,,,
cutted_fgx_F91916_0004.wav,,,,,,1,,,,
cutted_fgx_F91916_0005.wav,,,,,,1,,,,
cutted_fgx_F91916_0006.wav,,,,,,1,,,,
cutted_fgx_F91916_0007.wav,,,,,,1,,,,
cutted_fgx_F91916_0008.wav,,,,,,1,,,,
cutted_fgx_F91916_0009.wav,,,,,,1,,,,
cutted_fgx_F91916_0010.wav,,,,,,1,,,,
cutted_fgx_F91916_0011.wav,,,,,,1,,,,
cutted_fgx_F91916_0012.wav,,,,,,1,,,,
cutted_fgx_F91916_0013.wav,,,,,,1,,,,
cutted_fgx_F91916_0014.wav,,,,,,1,,,,
cutted_fgx_F91916_0015.wav,,,,,,1,,,,
cutted_fgx_F91916_0016.wav,,,,,,1,,,,
cutted_fgx_F91916_0017.wav,,,,,,1,,,,
cutted_fgx_F91916_0018.wav,,,,,,1,,,,
cutted_fgx_F91916_0019.wav,,,,,,1,,,,
cutted_fgx_F91916_0020.wav,,,,,,1,,,,
cutted_fgx_F91916_0021.wav,,,,,,1,,,,
cutted_fgx_F91916_0022.wav,,,,,,1,,,,
cutted_fgx_F91916_0023.wav,,,,,,1,,,,
cutted_fgx_F91916_0024.wav,,,,,,1,,,,
cutted_fgx_F91916_0025.wav,,,,,,1,,,,
cutted_fgx_F91916_0026.wav,,,,,,1,,,,
cutted_fgx_F91916_0027.wav,,,,,,1,,,,
cutted_fgx_F91916_0028.wav,,,,,,1,,,,
cutted_fgx_F91916_0029.wav,,,,,,1,,,,
cutted_fgx_F91916_0030.wav,,,,,,1,,,,
cutted_fgx_F91916_0031.wav,,,,,,1,,,,
cutted_fgx_F91916_0032.wav,,,,,,1,,,,
cutted_fgx_F91916_0033.wav,,,,,,1,,,,
cutted_fgx_F91916_0034.wav,,,,,,1,,,,
cutted_fgx_F91916_0035.wav,,,,,,1,,,,
cutted_fgx_F91916_0036.wav,,,,,,1,,,,
cutted_fgx_F91916_0037.wav,,,,,,1,,,,
cutted_fgx_F91916_0038.wav,,,,,,1,,,,
cutted_fgx_F91916_0039.wav,,,,,,1,,,,
cutted_fgx_F91916_0040.wav,,,,,,1,,,,
cutted_fgx_F91916_0041.wav,,,,,,1,,,,
cutted_fgx_F91916_0042.wav,,,,,,1,,,,
cutted_fgx_F91916_0043.wav,,,,,,1,,,,
cutted_fgx_F91916_0044.wav,,,,,,1,,,,
cutted_fgx_F91916_0045.wav,,,,,,1,,,,
cutted_fgx_F91916_0046.wav,,,,,,1,,,,
cutted_fgx_F91954_0000.wav,,,,,,,1,,,
cutted_fgx_F91954_0001.wav,,,,,,,1,,,
cutted_fgx_F91954_0002.wav,,,,,,,1,,,
cutted_fgx_F91954_0003.wav,,,,,,,1,,,
cutted_fgx_F91954_0004.wav,,,,,,,1,,,
cutted_fgx_F91954_0005.wav,,,,,,,1,,,
cutted_fgx_F91954_0006.wav,,,,,,,1,,,
cutted_fgx_F91954_0007.wav,,,,,,,1,,,
cutted_fgx_F91954_0008.wav,,,,,,,1,,,
cutted_fgx_F91954_0009.wav,,,,,,,1,,,
cutted_fgx_F91954_0010.wav,,,,,,,1,,,
cutted_fgx_F91954_0011.wav,,,,,,,1,,,
cutted_fgx_F91954_0012.wav,,,,,,,1,,,
cutted_fgx_F91954_0013.wav,,,,,,,1,,,
cutted_fgx_F91954_0014.wav,,,,,,,1,,,
cutted_fgx_F91954_0015.wav,,,,,,,1,,,
cutted_fgx_F91954_0016.wav,,,,,,,1,,,
cutted_fgx_F91954_0017.wav,,,,,,,1,,,
cutted_fgx_F91954_0018.wav,,,,,,,1,,,
cutted_fgx_F91954_0019.wav,,,,,,,1,,,
cutted_fgx_F91954_0020.wav,,,,,,,1,,,
cutted_fgx_F91954_0021.wav,,,,,,,1,,,
cutted_fgx_F91954_0022.wav,,,,,,,1,,,
cutted_fgx_F91954_0023.wav,,,,,,,1,,,
cutted_fgx_F91954_0024.wav,,,,,,,1,,,
cutted_fgx_F91954_0025.wav,,,,,,,1,,,
cutted_fgx_F91959_0000.wav,,,,,,,,1,,
cutted_fgx_F91959_0001.wav,,,,,,,,1,,
cutted_fgx_F91959_0002.wav,,,,,,,,1,,
cutted_fgx_F91959_0003.wav,,,,,,,,1,,
cutted_fgx_F91959_0004.wav,,,,,,,,1,,
cutted_fgx_F91959_0005.wav,,,,,,,,1,,
cutted_fgx_F91959_0006.wav,,,,,,,,1,,
cutted_fgx_F91959_0007.wav,,,,,,,,1,,
cutted_fgx_F91959_0008.wav,,,,,,,,1,,
cutted_fgx_F91959_0009.wav,,,,,,,,1,,
cutted_fgx_F91959_0010.wav,,,,,,,,1,,
cutted_fgx_F91959_0011.wav,,,,,,,,1,,
cutted_fgx_F91959_0012.wav,,,,,,,,1,,
cutted_fgx_F91959_0013.wav,,,,,,,,1,,
cutted_fgx_F91959_0014.wav,,,,,,,,1,,
cutted_fgx_F91959_0015.wav,,,,,,,,1,,
cutted_fgx_F91959_0016.wav,,,,,,,,1,,
cutted_fgx_F91959_0017.wav,,,,,,,,1,,
cutted_fgx_F91959_0018.wav,,,,,,,,1,,
cutted_fgx_F91959_0019.wav,,,,,,,,1,,
cutted_fgx_F91959_0020.wav,,,,,,,,1,,
cutted_fgx_F91959_0021.wav,,,,,,,,1,,
cutted_fgx_F91959_0022.wav,,,,,,,,1,,
cutted_fgx_F91959_0023.wav,,,,,,,,1,,
cutted_fgx_F91959_0024.wav,,,,,,,,1,,
cutted_fgx_F91959_0025.wav,,,,,,,,1,,
cutted_fgx_F91959_0026.wav,,,,,,,,1,,
cutted_fgx_F91959_0027.wav,,,,,,,,1,,
cutted_fgx_F91959_0028.wav,,,,,,,,1,,
cutted_fgx_F91969_0000.wav,,,,,,,,,1,
cutted_fgx_F91969_0001.wav,,,,,,,,,1,
cutted_fgx_F91969_0002.wav,,,,,,,,,1,
cutted_fgx_F91969_0003.wav,,,,,,,,,1,
cutted_fgx_F91969_0004.wav,,,,,,,,,1,
cutted_fgx_F91969_0005.wav,,,,,,,,,1,
cutted_fgx_F91969_0006.wav,,,,,,,,,1,
cutted_fgx_F91969_0007.wav,,,,,,,,,1,
cutted_fgx_F91969_0008.wav,,,,,,,,,1,
cutted_fgx_F91969_0009.wav,,,,,,,,,1,
cutted_fgx_F91969_0010.wav,,,,,,,,,1,
cutted_fgx_F91969_0011.wav,,,,,,,,,1,
cutted_fgx_F91969_0012.wav,,,,,,,,,1,
cutted_fgx_F91969_0013.wav,,,,,,,,,1,
cutted_fgx_F91969_0014.wav,,,,,,,,,1,
cutted_fgx_F91969_0015.wav,,,,,,,,,1,
cutted_fgx_F91969_0016.wav,,,,,,,,,1,
cutted_fgx_F91969_0017.wav,,,,,,,,,1,
cutted_fgx_F91969_0018.wav,,,,,,,,,1,
cutted_fgx_F91969_0019.wav,,,,,,,,,1,
cutted_fgx_F91969_0020.wav,,,,,,,,,1,
cutted_fgx_F91969_0021.wav,,,,,,,,,1,
cutted_fgx_F91969_0022.wav,,,,,,,,,1,
cutted_fgx_F91969_0023.wav,,,,,,,,,1,
cutted_fgx_F91969_0024.wav,,,,,,,,,1,
cutted_fgx_F91969_0025.wav,,,,,,,,,1,
cutted_fgx_F91969_0026.wav,,,,,,,,,1,
cutted_fgx_F91969_0027.wav,,,,,,,,,1,
cutted_fgx_F91969_0028.wav,,,,,,,,,1,
cutted_fgx_F91969_0029.wav,,,,,,,,,1,
cutted_fgx_F91969_0030.wav,,,,,,,,,1,
cutted_fgx_F91969_0031.wav,,,,,,,,,1,
cutted_fgx_F91969_0032.wav,,,,,,,,,1,
cutted_fgx_F91969_0033.wav,,,,,,,,,1,
cutted_fgx_F91969_0034.wav,,,,,,,,,1,
cutted_fgx_F91969_0035.wav,,,,,,,,,1,
cutted_fgx_F91969_0036.wav,,,,,,,,,1,
cutted_fgx_F91973_0000.wav,,,,,,,,,,1
cutted_fgx_F91973_0001.wav,,,,,,,,,,1
cutted_fgx_F91973_0002.wav,,,,,,,,,,1
cutted_fgx_F91973_0003.wav,,,,,,,,,,1
cutted_fgx_F91973_0004.wav,,,,,,,,,,1
cutted_fgx_F91973_0005.wav,,,,,,,,,,1
cutted_fgx_F91973_0006.wav,,,,,,,,,,1
cutted_fgx_F91973_0007.wav,,,,,,,,,,1
cutted_fgx_F91973_0008.wav,,,,,,,,,,1
cutted_fgx_F91973_0009.wav,,,,,,,,,,1
cutted_fgx_F91973_0010.wav,,,,,,,,,,1
cutted_fgx_F91973_0011.wav,,,,,,,,,,1
cutted_fgx_F91973_0012.wav,,,,,,,,,,1
cutted_fgx_F91973_0013.wav,,,,,,,,,,1
cutted_fgx_F91973_0014.wav,,,,,,,,,,1
cutted_fgx_F91973_0015.wav,,,,,,,,,,1
cutted_fgx_F91973_0016.wav,,,,,,,,,,1
cutted_fgx_F91973_0017.wav,,,,,,,,,,1
cutted_fgx_F91973_0018.wav,,,,,,,,,,1
cutted_fgx_F91973_0019.wav,,,,,,,,,,1
